rowid,Song Clean,ARTIST CLEAN,Release Year,COMBINED,First?,Year?,PlayCount,F*G
499,Heartache Tonight,Eagles,1979,Heartache Tonight by Eagles,1,1,30,30
500,Hotel California,Eagles,1976,Hotel California by Eagles,1,1,109,109
501,I Can't Tell You Why,Eagles,1979,I Can't Tell You Why by Eagles,1,1,2,2
502,In The City,Eagles,1979,In The City by Eagles,1,1,44,44
503,Life in the Fast Lane,Eagles,1976,Life in the Fast Lane by Eagles,1,1,86,86
504,Lyin' Eyes,Eagles,1975,Lyin' Eyes by Eagles,1,1,27,27
505,New Kid In Town,Eagles,1976,New Kid In Town by Eagles,1,1,2,2
506,One of These Nights,Eagles,1975,One of These Nights by Eagles,1,1,48,48
507,Peaceful Easy Feeling,Eagles,1972,Peaceful Easy Feeling by Eagles,1,1,16,16
508,Seven Bridges Road,Eagles,1980,Seven Bridges Road by Eagles,1,1,14,14
509,Take It Easy,Eagles,1972,Take It Easy by Eagles,1,1,75,75
510,Take It to the Limit,Eagles,1975,Take It to the Limit by Eagles,1,1,39,39
511,Tequila Sunrise,Eagles,1973,Tequila Sunrise by Eagles,1,1,4,4
512,The Best of My Love,Eagles,1974,The Best of My Love by Eagles,1,1,4,4
513,The Long Run,Eagles,1979,The Long Run by Eagles,1,1,50,50
514,Those Shoes,Eagles,1979,Those Shoes by Eagles,1,1,14,14
515,Victim of Love,Eagles,1976,Victim of Love by Eagles,1,1,5,5
516,Witchy Woman,Eagles,1972,Witchy Woman by Eagles,1,1,14,14
517,Baby Hold On,Eddie Money,1977,Baby Hold On by Eddie Money,1,1,26,26
518,Gimme Some Water,Eddie Money,,Gimme Some Water by Eddie Money,1,0,8,0
519,Shakin',Eddie Money,,Shakin' by Eddie Money,1,0,56,0
520,Take Me Home Tonight,Eddie Money,1986,Take Me Home Tonight by Eddie Money,1,1,35,35
521,Think I'm In Love,Eddie Money,,Think I'm In Love by Eddie Money,1,0,22,0
522,Two Tickets To Paradise,Eddie Money,,Two Tickets To Paradise by Eddie Money,1,0,59,0
523,Frankenstein,Edgar Winter Group,,Frankenstein by Edgar Winter Group,1,0,58,0
524,Free Ride,Edgar Winter Group,1973,Free Ride by Edgar Winter Group,1,1,26,26
525,WAR,Edwin Starr,1970,WAR by Edwin Starr,1,1,2,2
526,CAN'T GET IT OUT OF MY HEAD,Electric Light Orchestra,1974,CAN'T GET IT OUT OF MY HEAD by Electric Light Orchestra,1,1,1,1
527,Do Ya,Electric Light Orchestra,,Do Ya by Electric Light Orchestra,1,0,27,0
528,Don't Bring Me Down,Electric Light Orchestra,1979,Don't Bring Me Down by Electric Light Orchestra,1,1,85,85
529,Evil Woman,Electric Light Orchestra,1975,Evil Woman by Electric Light Orchestra,1,1,42,42
530,Fire On High,Electric Light Orchestra,1975,Fire On High by Electric Light Orchestra,1,1,18,18
531,Livin' Thing,Electric Light Orchestra,1976,Livin' Thing by Electric Light Orchestra,1,1,12,12
532,Roll Over Beethoven,Electric Light Orchestra,,Roll Over Beethoven by Electric Light Orchestra,1,0,3,0
533,Strange Magic,Electric Light Orchestra,1985,Strange Magic by Electric Light Orchestra,1,1,5,5
534,Sweet Talkin' Woman,Electric Light Orchestra,1978,Sweet Talkin' Woman by Electric Light Orchestra,1,1,3,3
535,Telephone Line,Electric Light Orchestra,,Telephone Line by Electric Light Orchestra,1,0,1,0
536,Turn To Stone,Electric Light Orchestra,1978,Turn To Stone by Electric Light Orchestra,1,1,5,5
537,All The Girls Love Alice,Elton John,1973,All The Girls Love Alice by Elton John,1,1,1,1
538,Bennie And The Jets,Elton John,1973,Bennie And The Jets by Elton John,1,1,62,62
539,Candle in the Wind,Elton John,1973,Candle in the Wind by Elton John,1,1,14,14
540,Captain Fantastic,Elton John,1975,Captain Fantastic by Elton John,1,1,1,1
541,Crocodile Rock,Elton John,1972,Crocodile Rock by Elton John,1,1,7,7
542,DANIEL,Elton John,1973,DANIEL by Elton John,1,1,4,4
543,Don't Let The Sun Go Down On Me,Elton John,1974,Don't Let The Sun Go Down On Me by Elton John,1,1,1,1
544,Funeral for a Friend (Love Lies Bleeding),Elton John,1973,Funeral for a Friend (Love Lies Bleeding) by Elton John,1,1,5,5
545,Goodbye Yellow Brick Road,Elton John,1973,Goodbye Yellow Brick Road by Elton John,1,1,27,27
546,Harmony,Elton John,1973,Harmony by Elton John,1,1,1,1
547,Honky Cat,Elton John,1972,Honky Cat by Elton John,1,1,2,2
548,Levon,Elton John,1071,Levon by Elton John,1,1,8,8
549,Madman Across The Water,Elton John,1971,Madman Across The Water by Elton John,1,1,1,1
550,Rocket Man,Elton John,1972,Rocket Man by Elton John,1,1,68,68
551,Saturday Night's Alright for Fighting,Elton John,1973,Saturday Night's Alright for Fighting by Elton John,1,1,34,34
552,Someone Saved My Life Tonight,Elton John,1975,Someone Saved My Life Tonight by Elton John,1,1,4,4
553,Take Me to the Pilot,Elton John,,Take Me to the Pilot by Elton John,1,0,1,0
554,Teacher I Need You,Elton John,,Teacher I Need You by Elton John,1,0,1,0
555,THE BITCH IS BACK,Elton John,1974,THE BITCH IS BACK by Elton John,1,1,1,1
556,Tiny Dancer,Elton John,1971,Tiny Dancer by Elton John,1,1,51,51
557,Where To Now St. Peter,Elton John,1970,Where To Now St. Peter by Elton John,1,1,1,1
558,Your Song,Elton John,1970,Your Song by Elton John,1,1,17,17
559,Fooled around and Fell in Love,Elvin Bishop,1975,Fooled around and Fell in Love by Elvin Bishop,1,1,1,1
560,Alison,Elvis Costello,1977,Alison by Elvis Costello,1,1,13,13
561,Pump It Up,Elvis Costello,1978,Pump It Up by Elvis Costello,1,1,3,3
562,Veronica,Elvis Costello,1989,Veronica by Elvis Costello,1,1,8,8
563,From the Beginning,"Emerson, Lake & Palmer",1972,"From the Beginning by Emerson, Lake & Palmer",1,1,1,1
564,Hoedown,"Emerson, Lake & Palmer",,"Hoedown by Emerson, Lake & Palmer",1,0,1,0
565,Karn Evil 9,"Emerson, Lake & Palmer",1973,"Karn Evil 9 by Emerson, Lake & Palmer",1,1,11,11
566,Lucky Man,"Emerson, Lake & Palmer",1970,"Lucky Man by Emerson, Lake & Palmer",1,1,8,8
567,Still You Turn Me On,"Emerson, Lake & Palmer",1973,"Still You Turn Me On by Emerson, Lake & Palmer",1,1,1,1
568,After Midnight,Eric Clapton,1970,After Midnight by Eric Clapton,1,1,16,16
569,Bad Love,Eric Clapton,1989,Bad Love by Eric Clapton,1,1,14,14
570,Call Me the Breeze,Eric Clapton,,Call Me the Breeze by Eric Clapton,1,0,3,0
571,Cocaine,Eric Clapton,1977,Cocaine by Eric Clapton,1,1,84,84
572,"Don't Think Twice, It's Alright",Eric Clapton,,"Don't Think Twice, It's Alright by Eric Clapton",1,0,1,0
573,Forever Man,Eric Clapton,1985,Forever Man by Eric Clapton,1,1,9,9
574,I Can't Stand It,Eric Clapton,1981,I Can't Stand It by Eric Clapton,1,1,9,9
575,I Shot The Sheriff,Eric Clapton,1974,I Shot The Sheriff by Eric Clapton,1,1,39,39
576,I've Got a Rock 'N' Roll Heart,Eric Clapton,,I've Got a Rock 'N' Roll Heart by Eric Clapton,1,0,3,0
577,It's In The Way That You Use It,Eric Clapton,1986,It's In The Way That You Use It by Eric Clapton,1,1,10,10
578,Knockin' On Heaven's Door,Eric Clapton,,Knockin' On Heaven's Door by Eric Clapton,1,0,16,0
579,Lay Down Sally,Eric Clapton,1977,Lay Down Sally by Eric Clapton,1,1,10,10
580,Layla,Eric Clapton,,Layla by Eric Clapton,1,0,0,0
581,Let It Grow,Eric Clapton,1974,Let It Grow by Eric Clapton,1,1,4,4
582,Let It Rain,Eric Clapton,1970,Let It Rain by Eric Clapton,1,1,24,24
583,Pretending,Eric Clapton,1989,Pretending by Eric Clapton,1,1,6,6
584,She's Waiting,Eric Clapton,1985,She's Waiting by Eric Clapton,1,1,3,3
585,Tears In Heaven,Eric Clapton,,Tears In Heaven by Eric Clapton,1,0,1,0
586,The Core,Eric Clapton,1977,The Core by Eric Clapton,1,1,1,1
587,Willie and the Hand Jive,Eric Clapton,,Willie and the Hand Jive by Eric Clapton,1,0,1,0
588,Wonderful Tonight,Eric Clapton,1977,Wonderful Tonight by Eric Clapton,1,1,15,15
589,Cliffs Of Dover,Eric Johnson,1990,Cliffs Of Dover by Eric Johnson,1,1,2,2
590,The Final Countdown,Europe,1986,The Final Countdown by Europe,1,1,5,5
591,Sweet Dreams (Are Made of This),Eurythmics,1982,Sweet Dreams (Are Made of This) by Eurythmics,1,1,2,2
592,Inside Out,Eve 6,,Inside Out by Eve 6,1,0,1,0
593,Santa Monica,Everclear,1996,Santa Monica by Everclear,1,1,2,2
594,The Boys Are Back In Town,Everclear,,The Boys Are Back In Town by Everclear,1,0,1,0
595,What It's Like,Everlast,1999,What It's Like by Everlast,1,1,4,4
596,More Than Words,Extreme,1991,More Than Words by Extreme,1,1,1,1
597,Mutha (Don't Wanna Go To School Today),Extreme,,Mutha (Don't Wanna Go To School Today) by Extreme,1,0,1,0
598,Ooh La La,Faces,1973,Ooh La La by Faces,1,1,1,1
599,Stay With Me,Faces,1971,Stay With Me by Faces,1,1,19,19
600,Epic,Faith No More,1989,Epic by Faith No More,1,1,3,3
601,House Of Pain,Faster Pussycat,1990,House Of Pain by Faster Pussycat,1,1,1,1
602,All The Kings Horses,Firm,,All The Kings Horses by Firm,1,0,1,0
603,Signs,Five Man Electrical Band,1970,Signs by Five Man Electrical Band,1,1,10,10
604,Blue Letter,Fleetwood Mac,,Blue Letter by Fleetwood Mac,1,0,1,0
605,Don't Stop,Fleetwood Mac,1977,Don't Stop by Fleetwood Mac,1,1,50,50
606,Dreams,Fleetwood Mac,1977,Dreams by Fleetwood Mac,1,1,53,53
607,Go Your Own Way,Fleetwood Mac,1977,Go Your Own Way by Fleetwood Mac,1,1,77,77
608,Gold Dust Woman,Fleetwood Mac,1977,Gold Dust Woman by Fleetwood Mac,1,1,37,37
609,Gypsy,Fleetwood Mac,1982,Gypsy by Fleetwood Mac,1,1,67,67
610,Hold Me,Fleetwood Mac,1982,Hold Me by Fleetwood Mac,1,1,1,1
611,Hypnotized,Fleetwood Mac,1973,Hypnotized by Fleetwood Mac,1,1,2,2
612,I Don't Want To Know,Fleetwood Mac,1977,I Don't Want To Know by Fleetwood Mac,1,1,3,3
613,I'm So Afraid,Fleetwood Mac,,I'm So Afraid by Fleetwood Mac,1,0,1,0
614,Landslide,Fleetwood Mac,1975,Landslide by Fleetwood Mac,1,1,29,29
615,Little Lies,Fleetwood Mac,1987,Little Lies by Fleetwood Mac,1,1,1,1
616,Monday Morning,Fleetwood Mac,1975,Monday Morning by Fleetwood Mac,1,1,30,30
617,Never Going Back Again,Fleetwood Mac,1977,Never Going Back Again by Fleetwood Mac,1,1,1,1
618,Oh Well,Fleetwood Mac,1969,Oh Well by Fleetwood Mac,1,1,10,10
619,Rhiannon,Fleetwood Mac,1975,Rhiannon by Fleetwood Mac,1,1,48,48
620,Sara,Fleetwood Mac,1980,Sara by Fleetwood Mac,1,1,1,1
621,Say You Love Me,Fleetwood Mac,,Say You Love Me by Fleetwood Mac,1,0,9,0
622,Second Hand News,Fleetwood Mac,1977,Second Hand News by Fleetwood Mac,1,1,4,4
623,Sentimental Lady,Fleetwood Mac,,Sentimental Lady by Fleetwood Mac,1,0,1,0
624,The Chain,Fleetwood Mac,1977,The Chain by Fleetwood Mac,1,1,65,65
625,Tusk,Fleetwood Mac,1979,Tusk by Fleetwood Mac,1,1,6,6
626,World Turning,Fleetwood Mac,,World Turning by Fleetwood Mac,1,0,6,0
627,You Make Loving Fun,Fleetwood Mac,1977,You Make Loving Fun by Fleetwood Mac,1,1,31,31
628,Hocus Pocus,Focus,1971,Hocus Pocus by Focus,1,1,6,6
629,Dreamer,Foghat,,Dreamer by Foghat,1,0,2,0
630,Fool For The City,Foghat,1975,Fool For The City by Foghat,1,1,26,26
631,I Just Want To Make Love To You,Foghat,,I Just Want To Make Love To You by Foghat,1,0,25,0
632,Slow Ride,Foghat,1975,Slow Ride by Foghat,1,1,77,77
633,All My Life,Foo Fighters,2002,All My Life by Foo Fighters,1,1,2,2
634,Baker Street,Foo Fighters,,Baker Street by Foo Fighters,1,0,1,0
635,Best of You,Foo Fighters,2005,Best of You by Foo Fighters,1,1,1,1
636,Everlong,Foo Fighters,1997,Everlong by Foo Fighters,1,1,6,6
637,Learn To Fly,Foo Fighters,1999,Learn To Fly by Foo Fighters,1,1,10,10
638,Monkey Wrench,Foo Fighters,1997,Monkey Wrench by Foo Fighters,1,1,3,3
639,My Hero,Foo Fighters,1997,My Hero by Foo Fighters,1,1,7,7
640,The Pretender,Foo Fighters,2007,The Pretender by Foo Fighters,1,1,1,1
641,These Days,Foo Fighters,2011,These Days by Foo Fighters,1,1,2,2
642,Times Like These,Foo Fighters,2002,Times Like These by Foo Fighters,1,1,1,1
643,"Blue Morning, Blue Day",Foreigner,,"Blue Morning, Blue Day by Foreigner",1,0,52,0
644,Cold As Ice,Foreigner,1977,Cold As Ice by Foreigner,1,1,102,102
645,Dirty White Boy,Foreigner,1979,Dirty White Boy by Foreigner,1,1,17,17
646,Double Vision,Foreigner,1978,Double Vision by Foreigner,1,1,83,83
647,Feels Like the First Time,Foreigner,1977,Feels Like the First Time by Foreigner,1,1,75,75
648,Head Games,Foreigner,,Head Games by Foreigner,1,0,43,0
649,Hot Blooded,Foreigner,1978,Hot Blooded by Foreigner,1,1,82,82
650,I Want to Know What Love Is,Foreigner,1984,I Want to Know What Love Is by Foreigner,1,1,4,4
651,Juke Box Hero,Foreigner,1981,Juke Box Hero by Foreigner,1,1,75,75
652,"Long, Long Way From Home",Foreigner,,"Long, Long Way From Home by Foreigner",1,0,34,0
653,Love Has Taken Its Toll,Foreigner,,Love Has Taken Its Toll by Foreigner,1,0,1,0
654,Starrider,Foreigner,,Starrider by Foreigner,1,0,1,0
655,That Was Yesterday,Foreigner,1984,That Was Yesterday by Foreigner,1,1,4,4
656,Urgent,Foreigner,1981,Urgent by Foreigner,1,1,61,61
657,Waiting for a Girl Like You,Foreigner,1981,Waiting for a Girl Like You by Foreigner,1,1,5,5
658,Women,Foreigner,,Women by Foreigner,1,0,1,0
659,Joe's Garage,Frank Zappa,1979,Joe's Garage by Frank Zappa,1,1,1,1
660,Peaches En Regalia,Frank Zappa,,Peaches En Regalia by Frank Zappa,1,0,1,0
661,All Right Now,Free,1970,All Right Now by Free,1,1,97,97
662,Hemorrhage,Free,,Hemorrhage by Free,1,0,1,0
663,Wishing Well,Free,1973,Wishing Well by Free,1,1,1,1
664,Maggot Brain,Funkadelic,1971,Maggot Brain by Funkadelic,1,1,1,1
665,CARS,Gary Numan,1979,CARS by Gary Numan,1,1,1,1
666,Dream Weaver,Gary Wright,1975,Dream Weaver by Gary Wright,1,1,9,9
667,Love Is Alive,Gary Wright,,Love Is Alive by Gary Wright,1,0,2,0
668,A Trick of the Tail,Genesis,1976,A Trick of the Tail by Genesis,1,1,1,1
669,Abacab,Genesis,1981,Abacab by Genesis,1,1,35,35
670,Behind The Lines,Genesis,,Behind The Lines by Genesis,1,0,2,0
671,Carpet Crawlers,Genesis,,Carpet Crawlers by Genesis,1,0,1,0
672,Follow You Follow Me,Genesis,1978,Follow You Follow Me by Genesis,1,1,18,18
673,Home by the Sea/Second Home by the Sea,Genesis,1983,Home by the Sea/Second Home by the Sea by Genesis,1,1,1,1
674,Just A Job To Do,Genesis,,Just A Job To Do by Genesis,1,0,29,0
675,Land Of Confusion,Genesis,1986,Land Of Confusion by Genesis,1,1,17,17
676,Mama,Genesis,1983,Mama by Genesis,1,1,17,17
677,Man On The Corner,Genesis,1981,Man On The Corner by Genesis,1,1,12,12
678,Misunderstanding,Genesis,1980,Misunderstanding by Genesis,1,1,23,23
679,No Reply At All,Genesis,1981,No Reply At All by Genesis,1,1,18,18
680,That's All,Genesis,1983,That's All by Genesis,1,1,35,35
681,The Lamb Lies Down On Broadway,Genesis,1974,The Lamb Lies Down On Broadway by Genesis,1,1,23,23
682,Tonight Tonight (live),Genesis,1986,Tonight Tonight (live) by Genesis,1,1,1,1
683,Turn It On Again,Genesis,1980,Turn It On Again by Genesis,1,1,23,23
684,Give Me Love,George Harrison,1973,Give Me Love by George Harrison,1,1,3,3
685,GOT MY MIND SET ON YOU,George Harrison,1987,GOT MY MIND SET ON YOU by George Harrison,1,1,1,1
686,My Sweet Lord,George Harrison,1970,My Sweet Lord by George Harrison,1,1,6,6
687,Bad to the Bone,George Thorogood,1982,Bad to the Bone by George Thorogood,1,1,63,63
688,Delaware Slide,George Thorogood,,Delaware Slide by George Thorogood,1,0,1,0
689,Get A Haircut,George Thorogood,,Get A Haircut by George Thorogood,1,0,1,0
690,I Drink Alone,George Thorogood,1985,I Drink Alone by George Thorogood,1,1,33,33
691,It Wasn't Me,George Thorogood,,It Wasn't Me by George Thorogood,1,0,6,0
692,Move It On Over,George Thorogood,,Move It On Over by George Thorogood,1,0,14,0
693,"One Bourbon, One Scotch, One Beer",George Thorogood,,"One Bourbon, One Scotch, One Beer by George Thorogood",1,0,23,0
694,Who Do You Love,George Thorogood,,Who Do You Love by George Thorogood,1,0,37,0
695,Keep Your Hands To Yourself,Georgia Satellites,1986,Keep Your Hands To Yourself by Georgia Satellites,1,1,17,17
696,Baker Street,Gerry Rafferty,1978,Baker Street by Gerry Rafferty,1,1,16,16
697,Right Down the Line,Gerry Rafferty,1978,Right Down the Line by Gerry Rafferty,1,1,8,8
698,Found Out About You,Gin Blossoms,1993,Found Out About You by Gin Blossoms,1,1,1,1
699,Hey Jealousy,Gin Blossoms,1992,Hey Jealousy by Gin Blossoms,1,1,3,3
700,Smuggler's Blues,Glenn Frey,1984,Smuggler's Blues by Glenn Frey,1,1,3,3
701,You Belong to the City,Glenn Frey,1985,You Belong to the City by Glenn Frey,1,1,2,2
702,Marakesh Express,Gold Star Ballroom Orchestra,,Marakesh Express by Gold Star Ballroom Orchestra,1,0,2,0
703,Are You Receiving Me,Golden Earring,1973,Are You Receiving Me by Golden Earring,1,1,1,1
704,Radar Love,Golden Earring,1973,Radar Love by Golden Earring,1,1,66,66
705,Twilight Zone,Golden Earring,1983,Twilight Zone by Golden Earring,1,1,75,75
706,Sundown,Gordon Lightfoot,1974,Sundown by Gordon Lightfoot,1,1,7,7
707,Soulshine,Gov't Mule,,Soulshine by Gov't Mule,1,0,3,0
708,Bad Time,Grand Funk Railroad,1974,Bad Time by Grand Funk Railroad,1,1,1,1
709,Closer To Home (I'm Your Captain),Grand Funk Railroad,1970,Closer To Home (I'm Your Captain) by Grand Funk Railroad,1,1,8,8
710,Loco-Motion,Grand Funk Railroad,1974,Loco-Motion by Grand Funk Railroad,1,1,9,9
711,Shinin' On,Grand Funk Railroad,1974,Shinin' On by Grand Funk Railroad,1,1,1,1
712,Some Kind of Wonderful,Grand Funk Railroad,1975,Some Kind of Wonderful by Grand Funk Railroad,1,1,14,14
713,We're an American Band,Grand Funk Railroad,1973,We're an American Band by Grand Funk Railroad,1,1,25,25
714,Alabama Getaway,Grateful Dead,,Alabama Getaway by Grateful Dead,1,0,1,0
715,Black-Throated Wind,Grateful Dead,,Black-Throated Wind by Grateful Dead,1,0,1,0
716,Casey Jones,Grateful Dead,1970,Casey Jones by Grateful Dead,1,1,3,3
717,CHINA TOWN SHUFFLE ,Grateful Dead,,CHINA TOWN SHUFFLE  by Grateful Dead,1,0,1,0
718,Friend Of The Devil,Grateful Dead,1970,Friend Of The Devil by Grateful Dead,1,1,2,2
719,Hell in a Bucket,Grateful Dead,,Hell in a Bucket by Grateful Dead,1,0,1,0
720,Loser,Grateful Dead,,Loser by Grateful Dead,1,0,1,0
721,Me and Bobby McGee,Grateful Dead,,Me and Bobby McGee by Grateful Dead,1,0,1,0
722,NOT FADEAWAY/GOING /AWAY,Grateful Dead,,NOT FADEAWAY/GOING /AWAY by Grateful Dead,1,0,1,0
723,Scarlet Begonias,Grateful Dead,,Scarlet Begonias by Grateful Dead,1,0,2,0
724,Shakedown Street,Grateful Dead,,Shakedown Street by Grateful Dead,1,0,2,0
725,Sugar Magnolia,Grateful Dead,1970,Sugar Magnolia by Grateful Dead,1,1,3,3
726,Touch of Grey,Grateful Dead,1987,Touch of Grey by Grateful Dead,1,1,26,26
727,Truckin',Grateful Dead,1970,Truckin' by Grateful Dead,1,1,19,19
728,Turn On Your Lovelight,Grateful Dead,,Turn On Your Lovelight by Grateful Dead,1,0,1,0
729,U.S. Blues,Grateful Dead,,U.S. Blues by Grateful Dead,1,0,2,0
730,Uncle John's Band,Grateful Dead,1969,Uncle John's Band by Grateful Dead,1,1,9,9
731,Mista Bone,Great White,,Mista Bone by Great White,1,0,1,0
732,"Once Bitten, Twice Shy",Great White,1989,"Once Bitten, Twice Shy by Great White",1,1,12,12
733,Rock Me,Great White,,Rock Me by Great White,1,0,4,0
734,Rollin' Stoned,Great White,,Rollin' Stoned by Great White,1,0,1,0
735,Save Your Love,Great White,,Save Your Love by Great White,1,0,1,0
736,Basket Case,Green Day,1994,Basket Case by Green Day,1,1,5,5
737,Boulevard Of Broken Dreams,Green Day,2004,Boulevard Of Broken Dreams by Green Day,1,1,6,6
738,Brain Stew/Jaded,Green Day,1995,Brain Stew/Jaded by Green Day,1,1,1,1
739,Good Riddance (Time Of Your Life),Green Day,1997,Good Riddance (Time Of Your Life) by Green Day,1,1,10,10
740,Holiday (Live),Green Day,2004,Holiday (Live) by Green Day,1,1,4,4
741,Holiday / Boulevard of Broken Dreams,Green Day,2004,Holiday / Boulevard of Broken Dreams by Green Day,1,1,5,5
742,Longview,Green Day,1994,Longview by Green Day,1,1,2,2
